WEIGHT_EMP,WEIGHT_FUEL,WEIGHT_FULL,MAIN_ENG_F,SECOND_ENG_F,MAIN_BURN,SECOND_BURN,ALL_BURN,vs,hs,angle,lat,alt,acc,fuel,weight,thrust,time
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,0.0,0.0,90.0,0.0,10.0,0.0,121.0,286.0,0.0,0.0
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.0002201710329849328,0.0,90.0,0.0,9.999999970113882,0.0,121.0,286.0,0.0,0.00013574046423238766
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.10159517103298495,0.0,90.0,0.0,9.99365027192432,0.0,121.0,286.0,0.0,0.06263574046423238
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.20297017103298495,0.0,90.0,0.0,9.98096463623476,0.0,121.0,286.0,0.0,0.12513574046423237
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.2983819357388673,0.0,90.0,0.0,9.963412757661885,0.0,121.0,286.0,0.0,0.1839592698759971
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.3997569357388673,0.0,90.0,0.0,9.938427949178205,0.0,121.0,286.0,0.0,0.2464592698759971
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.5011319357388673,0.0,90.0,0.0,9.907107203194526,0.0,121.0,286.0,0.0,0.3089592698759971
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.6025069357388673,0.0,90.0,0.0,9.869450519710847,0.0,121.0,286.0,0.0,0.3714592698759971
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.7038819357388673,0.0,90.0,0.0,9.825457898727167,0.0,121.0,286.0,0.0,0.4339592698759971
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.8052569357388673,0.0,90.0,0.0,9.775129340243488,0.0,121.0,286.0,0.0,0.4964592698759971
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.9066319357388672,0.0,90.0,0.0,9.71846484425981,0.0,121.0,286.0,0.0,0.5589592698759971
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.0080069357388672,0.0,90.0,0.0,9.65546441077613,0.0,121.0,286.0,0.0,0.6214592698759971
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.1093819357388672,0.0,90.0,0.0,9.58612803979245,0.0,121.0,286.0,0.0,0.6839592698759971
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.2047937004447495,0.0,90.0,0.0,9.51525782211923,0.0,121.0,286.0,0.0,0.7427827992877618
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.3061687004447495,0.0,90.0,0.0,9.433622278341433,0.0,121.0,286.0,0.0,0.8052827992877618
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.4015804651506318,0.0,90.0,0.0,9.35117636862669,0.0,121.0,286.0,0.0,0.8641063286995265
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.5029554651506318,0.0,90.0,0.0,9.257241652054777,0.0,121.0,286.0,0.0,0.9266063286995265
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.6043304651506318,0.0,90.0,0.0,9.156970997982862,0.0,121.0,286.0,0.0,0.9891063286995265
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.7057054651506318,0.0,90.0,0.0,9.050364406410948,0.0,121.0,286.0,0.0,1.0516063286995265
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.8070804651506318,0.0,90.0,0.0,8.937421877339034,0.0,121.0,286.0,0.0,1.1141063286995265
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.9084554651506318,0.0,90.0,0.0,8.818143410767119,0.0,121.0,286.0,0.0,1.1766063286995265
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-2.009830465150632,0.0,90.0,0.0,8.692529006695205,0.0,121.0,286.0,0.0,1.2391063286995265
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-2.111205465150632,0.0,90.0,0.0,8.560578665123291,0.0,121.0,286.0,0.0,1.3016063286995265
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-2.212580465150632,0.0,90.0,0.0,8.422292386051376,0.0,121.0,286.0,0.0,1.3641063286995265
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-2.3139554651506318,0.0,90.0,0.0,8.277670169479462,0.0,121.0,286.0,0.0,1.4266063286995265
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-2.4153304651506318,0.0,90.0,0.0,8.126712015407549,0.0,121.0,286.0,0.0,1.4891063286995265
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-2.5107422298565143,0.0,90.0,0.0,7.979021296004224,0.0,121.0,286.0,0.0,1.5479298581112912
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-2.6121172298565143,0.0,90.0,0.0,7.815763969138192,0.0,121.0,286.0,0.0,1.6104298581112912
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-2.7134922298565143,0.0,90.0,0.0,7.64617070477216,0.0,121.0,286.0,0.0,1.6729298581112912
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-2.8148672298565143,0.0,90.0,0.0,7.470241502906128,0.0,121.0,286.0,0.0,1.7354298581112912
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-2.9162422298565143,0.0,90.0,0.0,7.287976363540096,0.0,121.0,286.0,0.0,1.7979298581112912
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-3.0176172298565143,0.0,90.0,0.0,7.099375286674064,0.0,121.0,286.0,0.0,1.8604298581112912
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-3.1189922298565143,0.0,90.0,0.0,6.904438272308032,0.0,121.0,286.0,0.0,1.9229298581112912
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-3.2203672298565142,0.0,90.0,0.0,6.703165320441999,0.0,121.0,286.0,0.0,1.9854298581112912
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-3.3217422298565142,0.0,90.0,0.0,6.4955564310759675,0.0,121.0,286.0,0.0,2.0479298581112912
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-3.4231172298565142,0.0,90.0,0.0,6.281611604209935,0.0,121.0,286.0,0.0,2.1104298581112912
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-3.5244922298565142,0.0,90.0,0.0,6.061330839843903,0.0,121.0,286.0,0.0,2.1729298581112912
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-3.625867229856514,0.0,90.0,0.0,5.834714137977871,0.0,121.0,286.0,0.0,2.2354298581112912
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-3.727242229856514,0.0,90.0,0.0,5.601761498611839,0.0,121.0,286.0,0.0,2.2979298581112912
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-3.828617229856514,0.0,90.0,0.0,5.362472921745806,0.0,121.0,286.0,0.0,2.3604298581112912
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-3.929992229856514,0.0,90.0,0.0,5.116848407379774,0.0,121.0,286.0,0.0,2.4229298581112912
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-4.031367229856515,0.0,90.0,0.0,4.864887955513742,0.0,121.0,286.0,0.0,2.4854298581112912
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-4.132742229856515,0.0,90.0,0.0,4.60659156614771,0.0,121.0,286.0,0.0,2.5479298581112912
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-4.234117229856515,0.0,90.0,0.0,4.341959239281678,0.0,121.0,286.0,0.0,2.6104298581112912
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-4.335492229856515,0.0,90.0,0.0,4.070990974915646,0.0,121.0,286.0,0.0,2.6729298581112912
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-4.436867229856515,0.0,90.0,0.0,3.7936867730496138,0.0,121.0,286.0,0.0,2.7354298581112912
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-4.538242229856515,0.0,90.0,0.0,3.5100466336835816,0.0,121.0,286.0,0.0,2.7979298581112912
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-4.633653994562397,0.0,90.0,0.0,3.2374787516504995,0.0,121.0,286.0,0.0,2.8567533875230557
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-4.735028994562397,0.0,90.0,0.0,2.9415394394903496,0.0,121.0,286.0,0.0,2.9192533875230557
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-4.836403994562397,0.0,90.0,0.0,2.6392641898302,0.0,121.0,286.0,0.0,2.9817533875230557
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-4.931815759268279,0.0,90.0,0.0,2.3491573804614774,0.0,121.0,286.0,0.0,3.0405769169348202
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-5.033190759268279,0.0,90.0,0.0,2.03458295800721,0.0,121.0,286.0,0.0,3.1030769169348202
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-5.134565759268279,0.0,90.0,0.0,1.7136725980529426,0.0,121.0,286.0,0.0,3.1655769169348202
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-5.235940759268279,0.0,90.0,0.0,1.3864263005986752,0.0,121.0,286.0,0.0,3.2280769169348202
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-5.337315759268279,0.0,90.0,0.0,1.0528440656444078,0.0,121.0,286.0,0.0,3.2905769169348202
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-5.438690759268279,0.0,90.0,0.0,0.7129258931901403,0.0,121.0,286.0,0.0,3.3530769169348202
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-5.540065759268279,0.0,90.0,0.0,0.3666717832358729,0.0,121.0,286.0,0.0,3.4155769169348202
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-5.641440759268279,0.0,90.0,0.0,0.014081735781605487,0.0,121.0,286.0,0.0,3.4780769169348202
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-5.742815759268279,0.0,90.0,0.0,0,0.0,121.0,286.0,0.0,3.5405769169348202
